,sample_name,from_image,from_area,sample_path,label
0,0,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\0.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
1,1,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\1.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
2,2,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\2.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
3,3,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\3.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
4,4,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\4.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
5,5,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\5.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
6,6,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\6.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
7,7,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\7.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
8,8,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\8.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
9,9,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\9.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
10,10,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\10.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
11,11,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\11.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
12,12,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\12.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
13,13,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\13.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
14,14,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\14.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
15,15,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\15.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
16,16,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\16.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
17,17,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\17.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
18,18,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\18.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
19,19,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\19.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
20,20,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\20.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
21,21,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\21.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
22,22,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\22.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
23,23,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\23.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
24,24,1951 5 .png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\1951 5\Samples\24.png,Ajrud (first half of 8th century - Sinai desert)_-_1951 5 .png
25,25,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\25.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
26,26,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\26.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
27,27,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\27.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
28,28,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\28.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
29,29,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\29.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
30,30,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\30.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
31,31,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\31.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
32,32,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\32.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
33,33,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\33.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
34,34,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\34.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
35,35,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\35.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
36,36,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\36.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
37,37,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\37.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
38,38,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\38.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
39,39,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\39.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
40,40,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\40.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
41,41,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\41.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
42,42,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\42.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
43,43,2.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\2\Samples\43.png,Ajrud (first half of 8th century - Sinai desert)_-_2.png
44,44,9.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\9\Samples\44.png,Ajrud (first half of 8th century - Sinai desert)_-_9.png
45,45,9.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\9\Samples\45.png,Ajrud (first half of 8th century - Sinai desert)_-_9.png
46,46,9.png,Ajrud (first half of 8th century - Sinai desert),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Ajrud (first half of 8th century - Sinai desert)\9\Samples\46.png,Ajrud (first half of 8th century - Sinai desert)_-_9.png
47,47,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\47.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
48,48,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\48.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
49,49,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\49.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
50,50,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\50.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
51,51,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\51.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
52,52,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\52.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
53,53,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\53.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
54,54,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\54.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
55,55,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\55.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
56,56,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\56.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
